Emoji,infinitive_verb,infinitive_phonetic_us,infinitive_phonetic_uk,literal_translation,contextual_translation
🗣️,To explain,/tə ɪkˈspleɪn/,/tə ɪkˈspleɪn/,"explicar, esclarecer, detalhar, elucidar, justificar",Tornar algo compreensível por meio de palavras e exemplos.
❌,To fail,/tə feɪl/,/tə feɪl/,"falhar, fracassar, não conseguir, errar, perder",Não alcançar o resultado esperado ou desejado.
🤲,To feel,/tə fiːl/,/tə fiːl/,"sentir, perceber, experimentar, pressentir, notar",Perceber emoções ou sensações físicas de forma subjetiva.
🔍,To find,/tə faɪnd/,/tə faɪnd/,"encontrar, achar, descobrir, localizar, identificar",Chegar a algo buscado ou perceber algo que estava oculto.
🏁,To finish,/tə ˈfɪn.ɪʃ/,/tə ˈfɪn.ɪʃ/,"terminar, finalizar, concluir, encerrar, completar","Levar uma atividade ao fim, atingindo o objetivo."
🧰,To fix,/tə fɪks/,/tə fɪks/,"consertar, reparar, ajustar, corrigir, resolver",Restaurar o funcionamento adequado de algo.
👣,To follow,/tə ˈfɑː.loʊ/,/tə ˈfɒl.əʊ/,"seguir, acompanhar, perseguir, atender, observar",Ir atrás de algo/alguém ou obedecer instruções e tendências.
💭,To forget,/tə fɚˈɡet/,/tə fəˈɡet/,"esquecer, desaprender, deixar de lembrar, omitir, negligenciar",Perder a lembrança de algo que se sabia ou precisava lembrar.
⚙️,To generate,/tə ˈdʒen.ə.reɪt/,/tə ˈdʒen.ə.reɪt/,"gerar, produzir, criar, originar, causar","Dar origem a algo novo, material ou imaterial."
🎁,To give,/tə ɡɪv/,/tə ɡɪv/,"dar, fornecer, oferecer, entregar, conceder",Transferir algo seu para outra pessoa voluntariamente.
🚶,To go,/tə ɡoʊ/,/tə ɡəʊ/,"ir, seguir, partir, deslocar-se, viajar",Mover-se de um lugar a outro; iniciar deslocamento.
👐,To handle,/tə ˈhæn.dəl/,/tə ˈhæn.dəl/,"lidar, manusear, controlar, tratar, resolver","Gerir uma situação, objeto ou problema com habilidade."
🎯,To happen,/tə ˈhæp.ən/,/tə ˈhæp.ən/,"acontecer, ocorrer, suceder, dar-se, ocorrer-se","Indicar que um evento teve lugar, esperado ou não."
👂,To hear,/tə hɪr/,/tə hɪə/,"ouvir, escutar",Perceber sons sem intenção — algo simplesmente chega aos ouvidos.
🆘,To help,/tə help/,/tə help/,"ajudar, auxiliar, apoiar, socorrer, colaborar",Contribuir para facilitar a ação ou resolver um problema.
🙈,To hide,/tə haɪd/,/tə haɪd/,"esconder, ocultar, disfarçar, encobrir, esconder-se",Manter algo fora da vista ou do conhecimento dos outros.
✊,To hold,/tə hoʊld/,/tə həʊld/,"segurar, manter, sustentar, reter, guardar",Manter algo firme na mão ou em determinada posição/estado.
🙉,To ignore,/tə ɪɡˈnɔːr/,/tə ɪɡˈnɔː/,"ignorar, desprezar, desconsiderar, evitar, passar por alto",Optar por não dar atenção ou importância a algo.
💭,To imagine,/tə ɪˈmædʒ.ɪn/,/tə ɪˈmædʒ.ɪn/,"imaginar, visualizar, supor, idealizar, conceber",Criar imagens ou ideias na mente sem necessidade de prova.
📈,To improve,/tə ɪmˈpruːv/,/tə ɪmˈpruːv/,"melhorar, aprimorar, aperfeiçoar, evoluir, otimizar","Elevar qualidade, desempenho ou resultado de algo."
📋,To include,/tə ɪnˈkluːd/,/tə ɪnˈkluːd/,"incluir, abarcar, conter, englobar, abranger",Fazer algo fazer parte de um conjunto maior.
🎯,To intend,/tə ɪnˈtend/,/tə ɪnˈtend/,"pretender, planejar, almejar, desejar, visar",Ter um propósito ou plano definido ao agir.
💌,To invite,/tə ɪnˈvaɪt/,/tə ɪnˈvaɪt/,"convidar, chamar, atrair, solicitar presença, propor",Pedir que alguém participe de algo de forma amigável ou formal.
👍,To join,/tə dʒɔɪn/,/tə dʒɔɪn/,"juntar-se, unir-se, associar-se, participar, integrar","Entrar em grupo, causa ou atividade com outros."
🔒,To keep,/tə kiːp/,/tə kiːp/,"manter, guardar, conservar, reter, continuar",Preservar um estado ou seguir com uma ação.
🧠,To know,/tə noʊ/,/tə nəʊ/,"saber, conhecer, ter ciência, dominar, notar","Possuir informação, familiaridade ou competência sobre algo."
😂,To laugh,/tə læf/,/tə lɑːf/,"rir, gargalhar, sorrir, brincar, debochar",Expressar alegria ou humor de forma espontânea.
📚,To learn,/tə lɝːn/,/tə lɜːn/,"aprender, assimilar, estudar, absorver, adquirir","Passar a saber algo por estudo, prática ou experiência."
✈️,To leave,/tə liːv/,/tə liːv/,"sair, partir, deixar, ir embora, abandonar",Ir de um lugar ou encerrar uma permanência ali.
📚,To lend,/tə lend/,/tə lend/,"emprestar, ceder, fornecer, disponibilizar, conceder","Dar algo a alguém temporariamente, esperando devolução."
👐,To let,/tə let/,/tə let/,"deixar, permitir, autorizar, ceder, liberar",Dar consentimento ou espaço para algo acontecer.
👍,To like,/tə laɪk/,/tə laɪk/,"gostar, curtir, apreciar, preferir, achar bom",Sentir apreço ou afinidade por algo/alguém.
👂,To listen,/tə ˈlɪs.ən/,/tə ˈlɪs.ən/,"escutar, prestar atenção, ouvir com atenção","Ouvir ativamente, com foco no que alguém diz ou no que toca."
🏙️,To live,/tə lɪv/,/tə lɪv/,"viver, morar, residir, habitar, sobreviver",Ter vida ou residir em um lugar ao longo do tempo.
🔐,To lock,/tə lɑːk/,/tə lɒk/,"trancar, fechar, prender, selar, assegurar",Impedir acesso movendo um mecanismo de segurança.
😞,To lose,/tə luːz/,/tə luːz/,"perder, extraviar, desperdiçar, deixar escapar, ser derrotado",Deixar de possuir algo ou ser superado em disputa.
🛠️,To make,/tə meɪk/,/tə meɪk/,"fazer, criar, produzir, gerar, confeccionar","Criar algo novo a partir de ideias, materiais ou energia."
👨‍💼,To manage,/tə ˈmæn.ədʒ/,/tə ˈmæn.ɪdʒ/,"gerenciar, administrar, conduzir, supervisionar, coordenar",Lidar com responsabilidades ou recursos para alcançar objetivos.
💬,To mean,/tə miːn/,/tə miːn/,"significar, querer dizer, representar, implicar, expressar",Indicar o sentido ou intenção de algo dito ou feito.
🤝,To meet,/tə miːt/,/tə miːt/,"encontrar, conhecer, reunir-se, ver, confraternizar",Estar com alguém por acaso ou com horário marcado.
🚚,To move,/tə muːv/,/tə muːv/,"mover, deslocar, mudar, transferir, mexer","Alterar posição, lugar ou estado de algo ou alguém."
⚠️,To need,/tə niːd/,/tə niːd/,"precisar, necessitar, carecer, demandar, requerer",Indicar falta de algo essencial para agir ou seguir.
👀,To notice,/tə ˈnoʊ.tɪs/,/tə ˈnəʊ.tɪs/,"notar, perceber, observar, reparar, detectar",Perceber algo com os sentidos ou atenção.
🫴,To offer,/tə ˈɑː.fɚ/,/tə ˈɒ.fə/,"oferecer, propor, disponibilizar, apresentar, fornecer",Apresentar algo voluntariamente para aceitação.
🚪,To open,/tə ˈoʊ.pən/,/tə ˈəʊ.pən/,"abrir, deslacrar, destrancar, inaugurar, iniciar","Tornar acessível, disponível ou dar início a algo."
🛍️,To order,/tə ˈɔːr.dɚ/,/tə ˈɔː.də/,"pedir, encomendar, ordenar, solicitar, comandar","Solicitar algo formalmente, como comida, produtos ou ações a serem realizadas."
🗂️,To organize,/tə ˈɔːr.ɡən.aɪz/,/tə ˈɔː.ɡə.naɪz/,"organizar, arrumar, planejar, ordenar, estruturar",Colocar coisas ou ideias em ordem lógica ou funcional.
⏸️,To pause,/tə pɑːz/,/tə pɔːz/,"pausar, interromper, parar, suspender, dar um tempo",Interromper uma ação momentaneamente antes de continuar.
💵,To pay,/tə peɪ/,/tə peɪ/,"pagar, quitar, remunerar, desembolsar, arcar",Entregar dinheiro ou valor em troca de algo.
📋,To plan,/tə plæn/,/tə plæn/,"planejar, programar, organizar, estruturar, esboçar",Definir passos e recursos para atingir um objetivo.
▶️,To play,/tə pleɪ/,/tə pleɪ/,"jogar, brincar, tocar, atuar, participar","Praticar jogo, instrumento ou atividade recreativa."
💖,To prefer,/tə prɪˈfɝː/,/tə prɪˈfɜː/,"preferir, priorizar, escolher, gostar mais, optar por",Escolher uma opção em detrimento de outra por gosto ou conveniência.
🎭,To pretend,/tə prɪˈtend/,/tə prɪˈtend/,"fingir, simular, fazer de conta, disfarçar, encenar","Agir como se algo fosse verdade, mesmo sabendo que não é, geralmente por brincadeira ou disfarce."
🖨️,To print,/tə prɪnt/,/tə prɪnt/,"imprimir, publicar, reproduzir, registrar, editar",Produzir cópias físicas de texto ou imagem por meio de impressão.
📖,To read,/tə riːd/,/tə riːd/,"ler, consultar, interpretar, examinar, revisar","Decodificar e compreender texto, símbolos ou sinais."
💡,To realize,/tə ˈriː.ə.laɪz/,/tə ˈrɪə.laɪz/,"perceber, compreender, notar, entender, concretizar",Tomar consciência de algo ou tornar uma ideia em realidade.
📥,To receive,/tə rɪˈsiːv/,/tə rɪˈsiːv/,"receber, obter, acolher, ganhar, aceitar",Passar a ter algo que lhe é enviado ou entregue.
⭐,To recommend,/tə ˌrek.əˈmend/,/tə ˌrek.əˈmend/,"recomendar, sugerir, indicar, aconselhar, propor",Apontar algo como boa opção ou conselho baseado em experiência.
💪,To recover,/tə rɪˈkʌv.ɚ/,/tə rɪˈkʌv.ə/,"recuperar, restabelecer, reaver, reabilitar, restaurar","Voltar ao estado anterior de saúde, condição ou posse."
🚫,To refuse,/tə rɪˈfjuːz/,/tə rɪˈfjuːz/,"recusar, negar, rejeitar, declinar, opor-se","Não aceitar algo oferecido, pedido ou proposto."
🔗,To relate,/tə rɪˈleɪt/,/tə rɪˈleɪt/,"relacionar, conectar, vincular, referir, narrar",Estabelecer conexão ou contar algo sobre um tema.
🧠,To remember,/tə rɪˈmem.bɚ/,/tə rɪˈmem.bə/,"lembrar, recordar, rememorar, não esquecer, trazer à memória",Acessar uma informação guardada na memória.
🗑️,To remove,/tə rɪˈmuːv/,/tə rɪˈmuːv/,"remover, tirar, eliminar, excluir, retirar","Fazer algo sair de um lugar, sistema ou situação."
🔁,To repeat,/tə rɪˈpiːt/,/tə rɪˈpiːt/,"repetir, refazer, reiterar, reproduzir, insistir",Fazer novamente uma ação ou dizer algo mais de uma vez.
🔄,To replace,/tə rɪˈpleɪs/,/tə rɪˈpleɪs/,"substituir, trocar, repor, recolocar, renovar",Colocar algo novo no lugar do que saiu ou se perdeu.
📩,To reply,/tə rɪˈplaɪ/,/tə rɪˈplaɪ/,"responder, replicar, retornar, reagir, comunicar-se","Dar resposta a uma pergunta, mensagem ou ação."
💾,To save,/tə seɪv/,/tə seɪv/,"salvar, economizar, poupar, guardar, resgatar","Proteger recursos, dinheiro ou dados; impedir perda."
📅,To schedule,/tə ˈskedʒ.uːl/,/tə ˈʃed.juːl/,"agendar, programar, marcar, planejar, organizar",Definir data e hora para uma atividade futura.
👁️,To see,/tə siː/,/tə siː/,"ver, enxergar, perceber, visualizar, notar",Perceber com os olhos; captar visualmente algo.
💸,To sell,/tə sel/,/tə sel/,"vender, comercializar, negociar, repassar, ofertar","Trocar algo por dinheiro, produtos ou serviços."
📤,To send,/tə send/,/tə send/,"enviar, mandar, remeter, expedir, encaminhar",Fazer algo ir de você a outra pessoa ou lugar.
🤝,To share,/tə ʃer/,/tə ʃeə/,"compartilhar, dividir, repartir, distribuir, divulgar",Dar parte de algo a outros de forma voluntária.
👆,To show,/tə ʃoʊ/,/tə ʃəʊ/,"mostrar, exibir, apresentar, demonstrar, revelar",Tornar visível ou claro para outra pessoa.
😴,To sleep,/tə sliːp/,/tə sliːp/,"dormir, repousar, cochilar, adormecer, descansar",Entrar em estado de repouso para recuperar energia.
😊,To smile,/tə smaɪl/,/tə smaɪl/,"sorrir, expressar alegria, simpatizar, alegrar-se, demonstrar afeto",Mover os lábios e rosto em gesto de contentamento.
🧩,To solve,/tə sɑːlv/,/tə sɒlv/,"resolver, solucionar, decifrar, esclarecer, superar",Encontrar uma resposta ou saída prática para um problema.
🗣️,To speak,/tə spiːk/,/tə spiːk/,"falar, discursar, expressar-se, conversar, pronunciar",Comunicar-se oralmente com clareza e intenção.
💸,To spend,/tə spend/,/tə spend/,"gastar, despender, investir, consumir, empregar",Usar tempo ou dinheiro em algo específico.
🏁,To start,/tə stɑːrt/,/tə stɑːt/,"começar, iniciar, dar início, arrancar, estrear",Dar o primeiro passo de uma ação ou projeto.
🏡,To stay,/tə steɪ/,/tə steɪ/,"ficar, permanecer, hospedar-se, manter-se, continuar",Não sair; manter-se em um lugar ou estado.
🛑,To stop,/tə stɑːp/,/tə stɒp/,"parar, interromper, cessar, travar, barrar","Fazer cessar um movimento, ação ou processo."
💪,To struggle,/tə ˈstrʌɡ.əl/,/tə ˈstrʌɡ.əl/,"lutar, esforçar-se, batalhar, enfrentar, persistir",Tentar superar uma dificuldade com empenho e resistência.
🤓,To study,/tə ˈstʌd.i/,/tə ˈstʌd.i/,"estudar, pesquisar, revisar, analisar, dedicar-se","Aprender por meio de leitura, prática e reflexão."
💡,To suggest,/tə səˈdʒest/,/tə səˈdʒest/,"sugerir, propor, indicar, recomendar, levantar",Apresentar uma ideia ou alternativa para consideração.
💬,To talk,/tə tɑːk/,/tə tɔːk/,"falar, conversar, dialogar, discutir, comunicar",Trocar ideias ou palavras com alguém de forma natural e espontânea.
👩‍🏫,To teach,/tə tiːtʃ/,/tə tiːtʃ/,"ensinar, instruir, orientar, lecionar, treinar",Transmitir conhecimento de forma estruturada e prática.
🙏,To thank,/tə θæŋk/,/tə θæŋk/,"agradecer, reconhecer, louvar, retribuir, expressar gratidão",Demonstrar reconhecimento por algo recebido ou feito.
🤔,To think,/tə θɪŋk/,/tə θɪŋk/,"pensar, refletir, achar, considerar, supor",Processar ideias para formar opinião ou tomar decisão.
🌍,To travel,/tə ˈtræv.əl/,/tə ˈtræv.əl/,"viajar, deslocar-se, peregrinar, transitar, excursionar","Mover-se para outro lugar por lazer, trabalho ou necessidade."
🎯,To try,/tə traɪ/,/tə traɪ/,"tentar, experimentar, esforçar-se, provar, ensaiar",Fazer um esforço inicial para alcançar um resultado.
🧠,To understand,/tə ˌʌn.dɚˈstænd/,/tə ˌʌn.dəˈstænd/,"entender, compreender, perceber, captar, assimilar",Apreender o sentido de algo; captar intenção e detalhes.
🔄,To update,/tə ʌpˈdeɪt/,/tə ˈʌp.deɪt/,"atualizar, modernizar, revisar, renovar, corrigir","Tornar algo mais recente, adequado ou correto conforme o momento."
🛠️,To use,/tə juːz/,/tə juːz/,"usar, utilizar, empregar, aplicar, aproveitar",Aplicar algo para cumprir uma função ou obter resultado.
🏛️,To visit,/tə ˈvɪz.ɪt/,/tə ˈvɪz.ɪt/,"visitar, ir a, comparecer, passar por, conhecer","Ir a um lugar/pessoa por interesse, cuidado ou compromisso."
⏳,To wait,/tə weɪt/,/tə weɪt/,"esperar, aguardar, segurar, dar um tempo, ficar",Aguardar o momento certo antes de agir.
🚶,To walk,/tə wɑːk/,/tə wɔːk/,"andar, caminhar, passear, deslocar-se, ir a pé",Mover-se a pé de forma natural ou como exercício.
❤️,To want,/tə wɑːnt/,/tə wɒnt/,"querer, desejar, almejar, pretender, ambicionar",Expressar vontade ou intenção de obter algo.
🧼,To wash,/tə wɑːʃ/,/tə wɒʃ/,"lavar, higienizar, limpar, enxaguar, esfregar",Remover sujeira com água e/ou produto de limpeza.
👀,To watch,/tə wɑːtʃ/,/tə wɒtʃ/,"assistir, observar, vigiar, ver, acompanhar","Olhar com atenção por interesse, segurança ou entretenimento."
👕,To wear,/tə wer/,/tə weə/,"vestir, usar, trajar, portar, calçar",Ter roupa/acessório no corpo como uso ou estilo.
🏆,To win,/tə wɪn/,/tə wɪn/,"vencer, ganhar, conquistar, triunfar, superar",Alcançar vitória ou resultado superior em disputa.
💼,To work,/tə wɝːk/,/tə wɜːk/,"trabalhar, atuar, funcionar, laborar, operar",Executar atividades produtivas ou fazer algo funcionar.
✍️,To write,/tə raɪt/,/tə raɪt/,"escrever, redigir, anotar, registrar, compor",Expressar ideias em palavras por meio de texto.
